id,season,home_team,away_team,true_player,predicted_player,confidence,is_correct
268,2009,UTA,DET,Ronnie Price,Ronnie Price,48.38812007664616,True
274,2009,ATL,MIN,Ronald Murray,Ronald Murray,40.73792621696392,True
276,2009,CHI,MIN,Thabo Sefolosha,Tyrus Thomas,35.02338793165979,False
277,2009,UTA,CHA,Ronnie Brewer,Ronnie Brewer,64.17646644015812,True
279,2009,OKC,NYK,Russell Westbrook,Russell Westbrook,45.794607522940495,True
280,2009,OKC,POR,Nick Collison,Nenad Krstic,38.18406740399591,False
283,2009,LAC,GSW,Steve Novak,Steve Novak,33.91984774988013,True
288,2009,TOR,BOS,Roko Ukic,Will Solomon,24.08045312865813,False
290,2009,SAC,MIN,Mikki Moore,Mikki Moore,52.596521776212434,True
300,2010,GSW,UTA,Monta Ellis,Kelenna Azubuike,24.200742939403174,False
302,2010,LAL,MEM,Metta World Peace,Pau Gasol,36.40469416070945,False
303,2010,MEM,DEN,Zach Randolph,Zach Randolph,42.18825306948855,True
305,2010,PHO,MEM,Steve Nash,Leandro Barbosa,30.603943544380456,False
309,2010,UTA,MIL,Wesley Matthews,Ronnie Brewer,37.138264872475304,False
323,2010,HOU,PHO,Trevor Ariza,Trevor Ariza,48.38836867541293,True
324,2010,MEM,PHO,Zach Randolph,Zach Randolph,43.90278041949859,True
326,2010,LAC,SAC,Steve Blake,Steve Blake,19.15639124591776,True
327,2010,PHI,BOS,Willie Green,Willie Green,64.35175375803482,True
330,2010,CLE,TOR,Zydrunas Ilgauskas,Zydrunas Ilgauskas,49.76425183507821,True
335,2010,SAC,PHO,Sergio Rodriguez,Tyreke Evans,53.77361937967725,False
337,2010,IND,CHA,Troy Murphy,Troy Murphy,42.47152935363353,True
345,2010,MEM,SAS,Zach Randolph,Sam Young,43.595930006334996,False
347,2010,NYK,MIN,Wilson Chandler,Wilson Chandler,37.29546166801029,True
352,2010,DET,WAS,Will Bynum,Will Bynum,38.82764381527913,True
353,2010,DEN,GSW,Ty Lawson,Ty Lawson,63.613359786663295,True
359,2010,MIN,NOH,Wayne Ellington,Wayne Ellington,57.02395413061833,True
362,2010,POR,OKC,Martell Webster,Martell Webster,27.019511368490445,True
377,2010,DEN,ATL,Nene Hilario,Nene Hilario,45.8599049518054,True
389,2010,DEN,SAS,Nene Hilario,Nene Hilario,67.07082046712203,True
390,2010,LAL,NJN,Shannon Brown,Shannon Brown,51.976499409213375,True
391,2010,NYK,SAC,Wilson Chandler,Larry Hughes,58.469464010509896,False
394,2010,ORL,PHI,Ryan Anderson,Mickael Pietrus,35.28879467668718,False
395,2010,IND,LAL,Troy Murphy,T.J. Ford,26.27261601003453,False
398,2010,NYK,WAS,Toney Douglas,Toney Douglas,37.549988784934584,True
406,2011,BOS,PHI,Shaquille O'Neal,Shaquille O'Neal,61.072225622177875,True
416,2011,OKC,BOS,Serge Ibaka,Thabo Sefolosha,65.59771525155466,False
423,2011,OKC,IND,Serge Ibaka,Nazr Mohammed,30.236941484460893,False
429,2011,MEM,UTA,Zach Randolph,Sam Young,29.197595140821285,False
436,2011,CHI,BOS,Luol Deng,Luol Deng,54.774911787363735,True
438,2011,PHO,WAS,Josh Childress,Josh Childress,62.140142909071095,True
441,2011,MIL,LAC,Luc Mbah a Moute,Luc Mbah a Moute,47.3389052446975,True
445,2011,TOR,PHI,Sonny Weems,Leandro Barbosa,33.13736700419548,False
448,2011,NYK,CHI,Wilson Chandler,Wilson Chandler,80.51508724432264,True
459,2011,OKC,GSW,Serge Ibaka,Serge Ibaka,53.52877628807208,True
462,2011,ATL,MIL,Zaza Pachulia,Zaza Pachulia,27.82978047221487,True
485,2011,TOR,MIL,Sonny Weems,Linas Kleiza,31.3351207279099,False
492,2011,DET,UTA,Will Bynum,Will Bynum,37.61168977228259,True
496,2011,ATL,WAS,Zaza Pachulia,Zaza Pachulia,74.54988503026966,True
498,2011,MEM,MIN,Tony Allen,Zach Randolph,34.587274534011456,False
499,2011,OKC,DAL,Serge Ibaka,Thabo Sefolosha,71.55309067945285,False
500,2012,PHI,DET,Thaddeus Young,Thaddeus Young,37.395620668918674,True
508,2012,DAL,POR,Vince Carter,Vince Carter,31.937543183063035,True
521,2012,CLE,IND,Semih Erden,Tristan Thompson,35.325335051358664,False
534,2012,PHI,DEN,Nikola Vucevic,Nikola Vucevic,22.499788421423762,True
548,2012,NYK,CHI,Tyson Chandler,Toney Douglas,39.97510091180357,False
549,2012,MIL,WAS,Jon Leuer,Ersan Ilyasova,61.27877473539238,False
556,2012,HOU,DEN,Patrick Patterson,Patrick Patterson,29.710136645432712,True
573,2012,LAC,WAS,Randy Foye,Randy Foye,34.91912755219755,True
574,2012,OKC,DET,Serge Ibaka,Serge Ibaka,65.33331483063066,True
577,2012,PHI,MIA,Thaddeus Young,Thaddeus Young,36.71463612022032,True
580,2012,CHI,CHA,Richard Hamilton,Taj Gibson,31.709649971725746,False
582,2012,SAC,HOU,Tyreke Evans,Tyreke Evans,55.38833733617005,True
589,2012,IND,PHI,Roy Hibbert,Roy Hibbert,78.89948364709207,True
597,2012,WAS,PHI,Shelvin Mack,Shelvin Mack,54.545966687955286,True
602,2013,HOU,GSW,Omer Asik,Omer Asik,43.91546391848797,True
605,2013,NYK,GSW,Tyson Chandler,Tyson Chandler,29.640425189732223,True
608,2013,HOU,MEM,Omer Asik,Omer Asik,36.55409697163325,True
609,2013,WAS,TOR,Martell Webster,Kevin Seraphin,36.39563142697743,False
610,2013,MEM,DEN,Zach Randolph,Zach Randolph,80.0861109150696,True
611,2013,SAS,LAC,Tony Parker,Tiago Splitter,64.68208500623473,False
613,2013,GSW,SAS,Stephen Curry,Stephen Curry,81.99012704689753,True
623,2013,ATL,BRK,Zaza Pachulia,Mike Scott,39.48822664425522,False
633,2013,DAL,BRK,O.J. Mayo,O.J. Mayo,32.249675915290766,True
634,2013,MEM,CHA,Zach Randolph,Zach Randolph,78.13138853905684,True
635,2013,DEN,OKC,Wilson Chandler,Kenneth Faried,56.8869160392521,False
636,2013,DET,ATL,Rodney Stuckey,Rodney Stuckey,73.48384350528598,True
639,2013,SAS,DEN,Tony Parker,Tony Parker,69.86762716489471,True
645,2013,DEN,DET,Wilson Chandler,Kenneth Faried,30.44263565287168,False
646,2013,BOS,DAL,Rajon Rondo,Rajon Rondo,95.75173729079104,True
647,2013,POR,LAC,Will Barton,Will Barton,29.542906645470634,True
653,2013,MIA,DET,Udonis Haslem,Mike Miller,27.669907101549907,False
656,2013,PHI,BRK,Spencer Hawes,Thaddeus Young,38.99963916958988,False
658,2013,NYK,UTA,Steve Novak,Steve Novak,27.64464972031555,True
664,2013,NYK,ORL,Raymond Felton,Steve Novak,21.729953195893568,False
665,2013,GSW,MEM,Stephen Curry,Stephen Curry,73.90750725170459,True
671,2013,GSW,MEM,Stephen Curry,Stephen Curry,86.9182161603032,True
673,2013,ORL,WAS,Tobias Harris,Nikola Vucevic,37.681133417839085,False
676,2013,CHI,CLE,Richard Hamilton,Marco Belinelli,36.62281826592698,False
678,2013,IND,NYK,Tyler Hansbrough,Tyler Hansbrough,37.429666727819686,True
680,2013,MIN,NYK,Ricky Rubio,Ricky Rubio,57.01089183863728,True
683,2013,CLE,TOR,Wayne Ellington,Samardo Samuels,24.142348963490402,False
692,2013,LAC,NOH,Ronny Turiaf,Ronny Turiaf,54.24593860447039,True
693,2013,SAS,NYK,Tony Parker,Tiago Splitter,51.13911253344583,False
699,2013,SAS,GSW,Tony Parker,Tim Duncan,68.22367288515025,False
708,2014,UTA,CHI,Trey Burke,Trey Burke,89.19967499917924,True
711,2014,NOP,DEN,Tyreke Evans,Tyreke Evans,33.82538796097262,True
716,2014,NOP,SAS,Greg Stiemsma,Eric Gordon,49.68726077870322,False
717,2014,HOU,BOS,Terrence Jones,Terrence Jones,64.7284180227004,True
744,2014,DAL,MIN,Vince Carter,Vince Carter,63.51478884338728,True
757,2014,NOP,DEN,Ryan Anderson,Ryan Anderson,23.645190097035226,True
759,2014,CLE,WAS,Tyler Zeller,Tyler Zeller,87.2509724897235,True
777,2014,CHI,PHO,Tony Snell,Tony Snell,88.75222258477234,True
778,2014,MIL,HOU,Zaza Pachulia,Zaza Pachulia,33.16294480218352,True
779,2014,SAS,NYK,Tony Parker,Tiago Splitter,50.14997372208191,False
785,2014,IND,MIL,Roy Hibbert,Orlando Johnson,45.37734021837015,False
787,2014,MEM,DEN,Zach Randolph,Zach Randolph,92.12019911478299,True
788,2014,CHI,PHI,Tony Snell,Tony Snell,76.7077896826032,True
790,2014,DET,SAS,Rodney Stuckey,Rodney Stuckey,75.8214519957851,True
793,2014,ATL,NYK,Paul Millsap,Mike Scott,69.88771381908491,False
806,2015,SAC,PHO,Reggie Evans,Rudy Gay,45.89938372848902,False
807,2015,OKC,PHI,Russell Westbrook,Reggie Jackson,42.35070068382453,False
819,2015,SAS,WAS,Tim Duncan,Tiago Splitter,46.28033743766968,False
826,2015,BOS,MIA,Kelly Olynyk,Marcus Smart,32.64116500553095,False
834,2015,CLE,DET,Tristan Thompson,Tristan Thompson,82.39303765325779,True
840,2015,ORL,CHO,Victor Oladipo,Victor Oladipo,85.84381995545925,True
853,2015,MIL,NOP,Tyler Ennis,Khris Middleton,34.24166765511545,False
858,2015,WAS,SAS,Rasual Butler,Ramon Sessions,37.04302367306924,False
861,2015,TOR,NYK,Tyler Hansbrough,Tyler Hansbrough,88.2871753337089,True
870,2015,ORL,CHI,Victor Oladipo,Victor Oladipo,80.1297557940513,True
877,2015,NYK,MIL,Tim Hardaway,Shane Larkin,29.04770211551139,False
880,2015,MEM,HOU,Tony Allen,Mike Conley,42.56008136823017,False
886,2015,ATL,TOR,Paul Millsap,Mike Scott,67.69400125914095,False
890,2015,GSW,PHO,Stephen Curry,Stephen Curry,64.72439600088981,True
893,2015,SAS,CHI,Tim Duncan,Tiago Splitter,48.850763076188514,False
896,2015,DEN,DET,Ty Lawson,Ty Lawson,57.353196685293625,True
898,2015,DEN,MEM,Wilson Chandler,Ty Lawson,38.89901066001787,False
899,2015,DAL,PHO,Tyson Chandler,Tyson Chandler,84.86912535323192,True
